Size,Insulation,Voltage,Type,FROM,FROM_SWITCH,TO,TO_SWITCH,DELAYED_REASON,FAULT_NATURE,
120SQ.MM,PILC,11KV,HTCF SECTION,GOREGAON TELE.STAFF QUARTERS,10181,A K TOWER,12164,,,
120SQ.MM,PILC,11KV,HTCF SECTION,GULSHAN COMPOUND,19383,GOREGAON HOUSING NO.4,18968,1)GOREGAON HOUSING NO.4 S/S (DMS) WENT OFFLINE AFTER TRIPPING.,,
120SQ.MM,PILC,11KV,HTCF SECTION,HIGHLAND GLORY,30256,CHARKOP EAST,15207,,,
120SQ.MM,PILC,11KV,HTCF SECTION,HILL VIEW,13583,GOKULDHAM NO.2,7637,1)FAILED TO OPEN GOKULDHAM NO.2 S/S DMS SW.NO.07636 FAILED TO OPERATE FROM SCADA. 2)FAILED TO OPEN GOKULDHAM NO.2 S/S DMS SW.NO.07637 FAILED TO OPERATE FROM SCADA.,,
120SQ.MM,PILC,11KV,HTCF SECTION,IMP,4549,GANDHI NAGAR NO.3,10433,1) DMS OFFLINE AT IMP S/S.,,
120SQ.MM,PILC,11KV,HTCF SECTION,INTER GOLD NO.2,14170,CAMA NO.3,5326,1) FPI MALFUNCTION AT CAMA NO.2 S/S SW.NO.09957 (NOT GLOWN). 2) FPI MALFUNCTION AT INTER GOLD NO.2 S/S SW.NO.14170 (NOT GLOWN). 3)FAILED TO CLOSE CAMA REC-STN SW.NO.28224 FAILED TO OPERATE FROM SCADA. 4)S/S BECAME REDIAL DUE TO 11 KV SECTION BETWEEN KAMALA INDUSTRIAL ESTATE S/S TO N.C. DYING S/S DEAD..,,
120SQ.MM,PILC,11KV,HTCF SECTION,IRANI WADI NO.1,31645,RADHIKA DARSHAN,16044,,,
120SQ.MM,PILC,11KV,HTCF SECTION,JAGADAMBA,10458,SONAL IND.NO.4,17226,1) FPI MALFUNCTION AT SONAL IND.NO.3 S/S SW.NO.17223 (GLOWN). 2) DMS OFFLINE AT JAGADAMBA S/S. DUE TO LOTO OPERATION OF SECTION BETWEEN JAGDAMBA TO VIJAY ESTATE.,,
120SQ.MM,PILC,11KV,HTCF SECTION,KALE RUBBER,14647,BHANUKANT,17122,1)KOHINOOR INDUSTRIES S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2)JAI BHARAT S/S (DMS) WENT OFFLINE AFTER TRIPPING. 3) FPI MALFUNCTION AT BHANUKANT S/S SW.NO.17122 (GLOWN). 4) ACCESS PROBLEM AT SHANTAPRABHA S/S SUBSTATION GATE OPENING ISSUE.,,
120SQ.MM,PILC,11KV,HTCF SECTION,KALPATARU GARDEN,19728,SHABARI APARTMENT,13858,,,
120SQ.MM,PILC,11KV,HTCF SECTION,KAMGAR PANCH GANGA,17177,DAFTARI ROAD NO.3,7145,,,
120SQ.MM,PILC,11KV,HTCF SECTION,KHARODI NO.1,36358,ITI,19211,1)FAILED TO OPEN KHARODI NO.1 S/S DMS SW.NO.36358 FAILED TO OPERATE FROM SCADA. 2)FAILED TO OPEN KHARODI NO.1 S/S DMS SW.NO.02683 FAILED TO OPERATE FROM SCADA. 3)FAILED TO OPEN KHARODI NO.1 S/S DMS SW.NO.02684 FAILED TO OPERATE FROM SCADA.,,
120SQ.MM,PILC,11KV,HTCF SECTION,KURAR VILLAGE NO.3,16908,SONUPADA,32337,1) FPI MALFUNCTION AT SONUPADA S/S 11 KV SW NO. 32338 (GLOWN)2) ROAD CLOSED AT MHB COLONY 3) PARTIAL ROAD CLOSED AT RANI SATI MARG 4) HEAVY TRAFFIC AT OBEROI SIGNAL & PATHANWADI ROAD.,,
120SQ.MM,PILC,11KV,HTCF SECTION,MADH,2562,AFCO,13908,1) DMS OFFLINE AT AFCO S/S. 2) HEAVY TRAFFIC ON MARVE ROAD. CABLE DAMAGED BY PRIVATE PARTY INSIDE L&T COMPOUND NEAR ENTRANCE GATE..,,
120SQ.MM,PILC,11KV,HTCF SECTION,MALVANI COLONY NO.1,10270,MALVANI COLONY NO.3,10304,1) DMS OFFLINE AT MALVANI COLONY NO.1 S/S.,,
120SQ.MM,PILC,11KV,HTCF SECTION,NAHAR NAGAR,14530,MOTI UDYOG,13535,1) FPI MALFUNCTION AT NAHAR NAGAR S/S SW.NO.14530 (NOT GLOWN). 2)FAILED TO OPEN PRATAP MANE S/S DMS SW.NO.31496 FAILED TO OPERATE FROM SCADA. 3)FAILED TO OPEN PRATAP MANE S/S DMS SW.NO.31496 FAILED TO OPERATE FROM SCADA. 4)FAILED TO OPEN NAHAR NAGAR S/S DMS SW.NO.14531 FAILED TO OPERATE FROM SCADA. 5)FAILED TO OPEN NAHAR NAGAR S/S DMS SW.NO.14529 FAILED TO OPERATE FROM SCADA. 6)FAILED TO OPEN NAHAR NAGAR S/S DMS SW.NO.14530 FAILED TO OPERATE FROM SCADA. 7. ISOLATION AND RESTORATION CARRIED ON FOOT DUE TO BLOCKADE TO VEHICULAR MOMENT..,,
120SQ.MM,PILC,11KV,HTCF SECTION,NALANDA APARTMENT,16563,KURAR VILLAGE NORTH,9704,,,
120SQ.MM,PILC,11KV,HTCF SECTION,NALANDA APARTMENT,16563,KURAR VILLAGE NORTH,9704,1) DMS OFFLINE AT TANAJI NAGAR S/S. CABLE DAMAGED BY HTM DEPT NEAR KURAR VILLAGE NORTH S/S.,,
120SQ.MM,PILC,11KV,HTCF SECTION,NIRMAL RUBBER,4461,GOREGAON EAST NO.1,157,FPI FAULTY AT B K MISTRY ESTATE S/S. TRAFFICE ON. DMS USED FOR ISOLATION AND RESTORATION. ISOLATION & RESTORATION DELAYED DUE TO 1) ON DEVEN ESTATE ROADN AND ST YADAV MARG .,,
120SQ.MM,PILC,11KV,HTCF SECTION,QUARRY ROAD SOUTH,12399,HARSHAWARDHAN,6743,,,
120SQ.MM,PILC,11KV,HTCF SECTION,RSC 29,17300,LILAC GARDEN,15261,1)RSC 52 S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2) FPI MALFUNCTION AT RSC 52 S/S SW.NO.38519 (NOT GLOWN).,,
120SQ.MM,PILC,11KV,HTCF SECTION,SHANTAPRABHA,14567,ST PIUS COLLEGE,18048,1)FAILED TO OPEN JAIPRAKASH MTNL S/S DMS SW.NO.32502 FAILED TO OPERATE FROM SCADA. 2) DMS OFFLINE AT KOHINOOR INDUSTRIES S/S.,,
120SQ.MM,PILC,11KV,HTCF SECTION,SUNDER NAGAR NO.1,12962,SUNDER NAGAR NO.2,12003,,,
120SQ.MM,PILC,11KV,HTCF SECTION,TUREL PAKHADI NO.1,4119,SHREENATH APARTMENT,16844,1)LIBERTY GARDEN SOUTH NO.2 S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2) FPI MALFUNCTION AT SHREENATH APARTMENT S/S SW.NO.16846 (GLOWN). 3)FAILED TO OPEN TUREL PAKHADI NO.1 S/S DMS SW.NO.04119 FAILED TO OPERATE FROM SCADA. 4)FAILED TO OPEN TUREL PAKHADI NO.1 S/S DMS SW.NO.06899 FAILED TO OPERATE FROM SCADA. 5)FAILED TO OPEN TUREL PAKHADI NO.1 S/S DMS SW.NO.06900 FAILED TO OPERATE FROM SCADA.,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,AJIT PARK,15725,TUREL PAKHADI NO.1,6900,1) DMS OFFLINE AT LIBERTY GARDEN SOUTH NO.2 S/S. 2)AJIT PARK S/S (DMS) WENT OFFLINE AFTER TRIPPING. 3)FAILED TO OPEN TUREL PAKHADI NO.1 S/S DMS SW.NO.06900 FAILED TO OPERATE FROM SCADA. 4)FAILED TO OPEN TUREL PAKHADI NO.1 S/S DMS SW.NO.04119 FAILED TO OPERATE FROM SCADA. 5)FAILED TO OPEN TUREL PAKHADI NO.1 S/S DMS SW.NO.06899 FAILED TO OPERATE FROM SCADA. 6) ACCESS PROBLEM AT AJIT PARK S/S ALL ROADS TO SUBSTATION ARE BLOCKED BY MCGM DUE TO COVID19 CONTAMINATION.,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,AJIT PARK,15725,TUREL PAKHADI NO.1,6900,1)FAILED TO OPEN TUREL PAKHADI NO.1 S/S DMS SW.NO.06900 FAILED TO OPERATE FROM SCADA. 2)FAILED TO OPEN TUREL PAKHADI NO.1 S/S DMS SW.NO.04119 FAILED TO OPERATE FROM SCADA. 3)FAILED TO OPEN TUREL PAKHADI NO.1 S/S DMS SW.NO.06899 FAILED TO OPERATE FROM SCADA. 4)AJIT PARK S/S (DMS) WENT OFFLINE AFTER TRIPPING. 5) DMS OFFLINE AT LIBERTY GARDEN SOUTH NO.2 S/S.,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,DAHANUKAR WADI NO.1,28159,ARKADE BHOOMI,29631,LOADING CONSTRAINT DUE TO 11KV HTCF BETWEEN GANESH NGR R/S SW NO 3711 TO PMGP NO.2 S/S SW NO. 13863 & 11KV HTCF BETWEEN KIE R/S SW NO 35870 TO K I E NO.8 S/S SW NO. 28367.,SUPPLY RESTORATION DELAYED AS LOADING CONSTRAINT DUE TO 11KV HTCF BETWEEN GANESH NGR R/S SW NO 3711 TO PMGP NO,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,FOUNTAIN HEIGHT,31146,ALICA NAGAR NO.2,17329,1) HEAVY TRAFFIC ON W.E.H & AKURLI ROAD. 2)ALICA NAGAR NO.2 S/S (DMS) WENT OFFLINE AFTER TRIPPING.,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GAODEVI ROAD NO.3,15889,GAVDEVI ROAD NO.5,28689,1) POISAR R/S 11 KV FDR 14429 NOT GETTING CLOSED FROM SCADA 2) GAODEVI ROAD S/S WAS OFFLINE 3) GAODEVI ROAD NO.5 S/S 11 KV SW NO. 28689 & 28688 NOT OPENED FROM SCADA.,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,JYOTI COMPLEX,19591,SATELITE GARDEN,17238,,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,JYOTI COMPLEX,19591,SATELITE GARDEN,17238,,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KALE RUBBER,14647,BHANUKANT,17122,1) DMS OFFLINE AT KOHINOOR INDUSTRIES S/S. 2) DMS OFFLINE AT JAI BHARAT S/S. 3)GOREGAON SIMBA S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND.,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,LILAYA NAGAR,12172,SOLITAIRE PARK,25913,,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,LOKHANDWALA SHOPPING CENTRE,12281,VICKERS SPERRY NO.1,26341,,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,OBEROI WOODS,30214,DOODH SAGAR,9359,1) FPI MALFUNCTION AT OBEROI WOODS S/S 11 KV SW NO. 30214 (NOT GLOWN) 2) AGRO IND S/S (DMS) WWAS OFFLINE DURING TRIPPING. 3) HEAVY TRAFFIC AT OBEROI MALL JUNCTION & AAREY CHECK NAKA.,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PALM COURT,18907,DHEERAJ KAVERI,26476,1)DHEERAJ KAVERI S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2)PALM COURT NO.2 S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND.,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PALM COURT,18907,DHEERAJ KAVERI,26476,,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PALM COURT,18907,DHEERAJ KAVERI,26476,1)DHEERAJ KAVERI S/S (DMS) WENT OFFLINE AFTER TRIPPING.,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PALM SPRING NO.3,28184,ACCORD NIDHI,29886,1) DMS OFFLINE AT FERRANI HOTEL S/S.,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,PIMPARI PADA,13543,RUSHI HEIGHTS,37529,1) DMS OFFLINE AT MALAD RESERVOIR S/S. CABLE DAMAGED BY MBMC ROAD WORKS OPP. PIMPRIPADA S/S.,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SHAKTI NAGAR NO.1,11386,ADARSH DUGDHALAYA,15895,1)SHAKTI NAGAR NO.1 S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND.,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SHAKTI NAGAR NO.3,29902,SHAKTI NAGAR NO.1,11385,,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SUNDER NAGAR NO.1,12963,CHINCHAVLI SOUTH NO.2,35151,,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SURYA KIRAN,31542,AKURLI MHADA NO.2,17217,1)AKURLI MHADA NO.3 S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2)AKURLI MHADA NO.2 S/S (DMS) WENT OFFLINE AFTER TRIPPING. 3) DMS OFFLINE AT KRANTI NAGAR NORTH S/S. 4)FAILED TO OPEN LOKHANDWALA TOWER NO.1 S/S DMS SW.NO.32197 FAILED TO OPERATE FROM SCADA. 5)FAILED TO OPEN LOKHANDWALA TOWER NO.1 S/S DMS SW.NO.32200 FAILED TO OPERATE FROM SCADA. 6) FPI MALFUNCTION AT LOKHANDWALA TOWER NO.1 S/S SW.NO.32198 (NOT GLOWN). 7) FPI MALFUNCTION AT LOKHANDWALA TOWER NO.1 S/S SW.NO.32200 (NOT GLOWN).,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SWAPNALOK,25372,GHARKUL,18485,1) DMS OFFLINE AT SWAPNALOK S/S.,,
120+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,TRISHALA SOCIETY,30199,R S C 18,13628,,,
120+150SQ.MM,XLPE,11KV,HTCF SECTION,AAREY NO.2,18066,AAREY UNIT NO.7 KIOSK,18008,1)FAILED TO OPEN AAREY NO.2 S/S DMS SW.NO.18066 FAILED TO OPERATE FROM SCADA. CABLE DAMAGED BY JIO ON AAREY NO. 2 S/S ROAD.,,
120+150SQ.MM,XLPE,11KV,HTCF SECTION,SWAPNALOK,25372,GHARKUL,18485,,,
120+150SQ.MM,XLPE,11KV,HTCF SECTION,SYMPHONY,30814,K D COMPOUND,35098,1) DMS OFFLINE AT SYMPHONY S/S. CABBLE DAMAGED BY METRO CONTRACTOR J KUMAR INFRA NEAR LALJIPADA SIGNAL AT JUNCTION OF NEW LINK RD AND 90FEET RD.,,
120+150+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,OBEROI WOODS,30214,DOODH SAGAR,9359,1) FPI MALFUNCTION AT OBEROI WOODS S/S SW.NO.30214 (NOT GLOWN). 2)LAKSHADHAM SCHOOL S/S (DMS) WENT OFFLINE AFTER TRIPPING. 3)FAILED TO CLOSE AGRO INDUSTRIES S/S DMS SW.NO.02986 FAILED TO OPERATE FROM SCADA.,,
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,JEEVANDEEP,34592,BLUE EMPIRE,25081,,,
120+150+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MALAD RESERVOIR STUDIO,38451,MALAD RESERVOIR,14068,1) ACCESS PROBLEM AT MALAD RESERVOIR STUDIO S/S.,,
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,AAREY CROSS ROAD NO. 2,7648,ACCORD CLASSIC,37865,,,
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,AKURLI ROAD EAST,9377,HANUMAN NAGAR VALMIKI,37825,,,
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,APPAPADA NO.3,16648,HAWAHIRA,16105,,,
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BOMBAY TALKIES (NEW),2308,CHINCHAVLI ROAD NO.3,17026,,,
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CRSC 1,27096,CRSC 2,30290,1)CRSC 2 S/S (DMS) WENT OFFLINE AFTER TRIPPING.,,
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KADAM WADI NO.3,11781,KADAMWADI SRA A5,39705,,,
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KAMALA INDUSTRIAL ESTATE,36671,N C DYING,18991,1) DMS OFFLINE AT RAHEJA SHERWOOD S/S. CABLE DAMAGED BY MCGM IN FRONT OF REMI HOUSE MAIN GATE ..,,
120+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,SHAH ARCADE NO.2,38756,QUARRY ROAD NO.3,5680,,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,AKURLI ROAD NORTH NO.2,16308,AKURLI ROAD NO.1,29151,,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,CHILDREN WELFARE,39337,ORLEM NO.2,7881,1)CHILDREN WELFARE S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2)ORLEM NO.2 S/S (DMS) WENT OFFLINE AFTER TRIPPING.,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,DINDOSHI HOUSING NO.2,10327,YASHODHAM NO.2,12628,1) FPI MALFUNCTION AT YASHODHAM NO.2 S/S SW.NO.12628 (GLOWN).,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KHARODI NO.1,36358,ITI,19211,1)FAILED TO OPEN KHARODI NO.1 S/S DMS SW.NO.36358 FAILED TO OPERATE FROM SCADA. 2)FAILED TO OPEN KHARODI NO.1 S/S DMS SW.NO.02683 FAILED TO OPERATE FROM SCADA. 3)FAILED TO OPEN KHARODI NO.1 S/S DMS SW.NO.02684 FAILED TO OPERATE FROM SCADA. 4)GANESH NAGAR MHADA NO.7 S/S (DMS) WENT OFFLINE AFTER GIVING COMMAND. 5) FEEDER TRIPPING AT DINDOSHI REC-STN SW.NO.6779.,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,LIBERTY GARDEN SAVASHRAM,34802,LIBERTY GARDEN NO.3,29059,,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MAHARASHTRA POLICE QTSS NO.3,12932,AURIGAE RESIDENCY,36491,1)FAILED TO CLOSE - MULTIPLE COMMAND GOKUL GARDEN NO.2 S/S DMS SW.NO.14939 FAILED TO OPERATE FROM SCADA.,,
120+300+150SQ.MM,PILC+XLPE,11KV,HTCF SECTION,,,,,1) ACCESS PROBLEM AT RAJ RATAN IND.ESTATE S/S SECURITY GUARD NOT AVAILABLE.,,
120+300+150SQ.MM,XLPE,11KV,HTCF SECTION,AAREY UNIT NO.5,37671,AAREY UNIT NO.6,36337,1) FPI MALFUNCTION AT NEW AAREY S/S SW.NO.28328 (NOT GLOWN). 2) FPI MALFUNCTION AT NEW AAREY S/S SW.NO.07089 (NOT GLOWN). 3)FAILED TO CLOSE NEW AAREY S/S SW.NO.28328 FAILED TO OPERATE FROM SCADA.,,
120+300+150+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,ASTER TOWER,16198,DINDOSHI HOUSING NO.2,10329,1) FPI MALFUNCTION AT DINDOSHI HOUSING NO.2 S/S SW.NO.10327 (GLOWN).,,
120+300+240SQ.MM,XLPE,11KV,HTCF SECTION,L T ROAD NO.2,19945,UNNAT NAGAR MHADA,37255,1) FPI MALFUNCTION AT UNNAT NAGAR MHADA S/S SW.NO.37255 (GLOWN). 2)UNNAT NAGAR MHADA S/S (DMS) WENT OFFLINE AFTER TRIPPING. 3) TRAFFIC ON SV ROAD . 4) TRFFIC ON UNNAT NAGAR MHADA ROAD DUE TO BMC WORK ON THE ROAD..,,
120+300+70+150SQ.MM,XLPE,11KV,HTCF SECTION,M E S PUMP,15919,PATGAON,27036,,,
150SQ.MM,XLPE,11KV,HTCF SECTION,TUREL PAKHADI NO.1,6899,TUREL PAKHADI NO.2,5271,1)FAILED TO OPEN TUREL PAKHADI NO.1 S/S DMS SW.NO.06899 FAILED TO OPERATE FROM SCADA. 2)FAILED TO OPEN TUREL PAKHADI NO.1 S/S DMS SW.NO.04119 FAILED TO OPERATE FROM SCADA. 3)FAILED TO OPEN TUREL PAKHADI NO.1 S/S DMS SW.NO.06900 FAILED TO OPERATE FROM SCADA.,,
150SQ.MM,XLPE,11KV,HTCF SECTION,TUREL PAKHADI NO.1,6899,TUREL PAKHADI NO.2,5271,1)FAILED TO OPEN TUREL PAKHADI NO.1 S/S DMS SW.NO.06899 FAILED TO OPERATE FROM SCADA. 2)FAILED TO OPEN TUREL PAKHADI NO.1 S/S DMS SW.NO.04119 FAILED TO OPERATE FROM SCADA. 3)FAILED TO OPEN TUREL PAKHADI NO.1 S/S DMS SW.NO.06900 FAILED TO OPERATE FROM SCADA.,,
185+225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,OBEROI WOODS,30213,VIRVANI IND.NO.3,11736,,,
185+240SQ.MM,PILC,11KV,HTCF SECTION,GANESH NAGAR MHADA NO.2,17896,MALAD SEWAGE,4165,1) DMS OFFLINE AT GANESH NAGAR MHADA NO.3 S/S. 2) DMS OFFLINE AT VASTU PARK S/S.,,
185+240SQ.MM,PILC,11KV,HTCF SECTION,GANESH NAGAR MHADA NO.2,17896,MALAD SEWAGE,4165,1)FAILED TO OPEN MALAD SEWAGE S/S DMS SW.NO.04165 FAILED TO OPERATE FROM SCADA. 2)VASTU PARK S/S (DMS) WENT OFFLINE AFTER TRIPPING. 3) DMS OFFLINE AT VISHAL NAGAR S/S. 4) HEAVY TRAFFIC ON SV ROAD MARVE ROAD JUNCTION AND LINK ROAD MARVE ROAD JUNCTION.,,
185+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,GANESH NAGAR MHADA NO.2,17896,MALAD SEWAGE,4165,1) DMS OFFLINE AT GANESH NAGAR MHADA NO.3 S/S. 2)VASTU PARK S/S (DMS) WENT OFFLINE AFTER TRIPPING. 3). MALAD SEWAGE SW. 4165 OPERATED AFTER GIVING MULTIPLE COMMAND. 4). GANESH NGR R/S OFFLINE DURING TRIPPING.,,
185+300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KANDIVALI SUDAMA VIJAY,39995,KANDIVLI WEST NO.2,6703,,,
185+300+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KANDIVLI WEST NO.2,6703,KANDIVALI SUDAMA VIJAY,39995,1)KANDIVLI WEST NO.2 S/S (DMS) WENT OFFLINE AFTER TRIPPING. 2) DMS OFFLINE AT THAKUR INTERNATIONAL SCHOOL S/S.,,
225SQ.MM,PILC,11KV,HTCF SECTION,BHADRAN NAGAR,6610,KHAJURIA ROAD,15928,1)BHADRAN NAGAR S/S (DMS) WENT OFFLINE AFTER TRIPPING.,,
225+240SQ.MM,PILC,11KV,HTCF SECTION,,,,,,,
225+240SQ.MM,PILC,11KV,HTCF SECTION,MARVE ROAD NO.3,6076,ORLEM BLISS,19389,1)FAILED TO CLOSE ORLEM NO.1 S/S DMS SW.NO.00663 FAILED TO OPERATE FROM SCADA.,,
225+240SQ.MM,PILC,11KV,HTCF SECTION,ORLEM BLISS,19389,MARVE ROAD NO.3,6076,1) FPI MALFUNCTION AT MARVE ROAD NO.3 S/S SW.NO.06076 (GLOWN).,,
225+240SQ.MM,PILC+XLPE,11KV,HTCF SECTION,MALAD SUBWAY,9015,SAINATH MARKET,4128,1)FAILED TO OPEN MALAD TELEPHONE EXCHANGE S/S DMS SW.NO.04123 FAILED TO OPERATE FROM SCADA. 2)FAILED TO OPEN MALAD TELEPHONE EXCHANGE S/S DMS SW.NO.00898 FAILED TO OPERATE FROM SCADA. 3) OPERATION SQUAD BUSY ON PLANNED JOB IN GOREGAON AREA. 4) HEAVY TRAFFIC ON S V ROAD..,,
225+240+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,BHARAT IND. ESTATE,37321,GREAT EASTERN LINK,18807,,,
225+240+300SQ.MM,XLPE,11KV,HTCF SECTION,EXPRESS MALL NO.2,40179,AMORE JEWELL,29352,,,
225+300SQ.MM,PILC+XLPE,11KV,HTCF SECTION,KHANDELWAL HOUSE,34152,MAKRANIPADA SRA,39974,1) FPI MALFUNCTION AT ANANDILAL PODDAR ROAD S/S SW.NO.06170 (NOT GLOWN).,,
240SQ.MM,PILC,11KV,HTCF SECTION,BANDONGRI ROAD WEST,16243,PODDAR ROAD NORTH,16247,,,
240SQ.MM,PILC,11KV,HTCF SECTION,,,,,,,
240SQ.MM,PILC,11KV,HTCF SECTION,DINDOSHI VASAHAT,10149,MUKADAM COMPOUND NO.2,19020,,,
